DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1043.286,0,166.92,45.31,110,110,17078.202
2023-09-29T08:00:00Z,1173.847,0,165.605,88.091,110,110,17088.635
2023-09-29T08:00:00Z,1345.976,0,192.504,83.093,110,110,17090.516
2023-09-29T08:00:00Z,1543.73,0,211.025,79.201,110,110,16854.466
2023-09-29T08:00:00Z,1756.263,0,243.159,72.794,110,110,18368.576
2023-09-29T08:00:00Z,1985.684,0,291.683,65.799,110,110,19368.578
2023-09-29T08:00:00Z,2198.244,0,265.863,59.391,110,110,20623.878
2023-09-29T08:00:00Z,2350.358,0,263.317,55.089,110,110,20868.979
2023-09-29T08:00:00Z,2449.928,0,252.109,53.619,109.999,110,20865.728
2023-09-29T08:00:00Z,2461.389,0,253.368,51.222,110.001,110,20870.512
2023-09-29T08:00:00Z,2397.105,0,266.271,52.46,110.001,110,20872.061
2023-09-29T08:00:00Z,2339.837,0,245.708,52.457,109.999,110,20888.021
2023-09-29T08:00:00Z,2279.146,0,262.246,52.572,110,110,20894.271
2023-09-29T08:00:00Z,2204.208,0,267.991,54.183,64.999,65,20892.99
2023-09-29T08:00:00Z,2119.763,0,280.482,58.126,65,65,20644.004
2023-09-29T08:00:00Z,2033.589,0,258.487,62.129,65,65,20647.581
2023-09-29T08:00:00Z,1954.196,0,229.743,64.896,64.999,65,19650.448
2023-09-29T08:00:00Z,1887.327,0,217.734,67.227,64.999,65,19647.776
2023-09-29T08:00:00Z,1834.677,0,191,69.062,65,65,19637.152
2023-09-29T08:00:00Z,1787.219,0,194.607,70.715,65,65,18380.403
2023-09-29T08:00:00Z,1748.045,0,151.098,71.081,64.999,65,18372.102
2023-09-29T08:00:00Z,1721.569,0,152.602,72.003,64.999,65.001,18122.288
2023-09-29T08:00:00Z,1704.377,0,152.509,73.602,65.001,65,18375.409
2023-09-29T08:00:00Z,1692.694,0,152.537,73.01,65,65,18374.066
2023-09-29T08:00:00Z,1686.831,0,152.29,72.214,65.001,65,18373.572
2023-09-29T08:00:00Z,1684.707,0,150.459,70.288,65.001,65.001,18394.858
2023-09-29T08:00:00Z,1691.074,0,151.198,71.066,65.001,65,18381.264
2023-09-29T08:00:00Z,1708.007,0,152.573,73.476,65.002,65,18369.354
2023-09-29T08:00:00Z,1744.263,0,152.573,74.212,65.002,65,18375.507
2023-09-29T08:00:00Z,1806.858,0,139.83,73.031,65.002,65,19616.865
2023-09-29T08:00:00Z,1870.015,0,166.939,70.83,65.002,65,19623.066
2023-09-29T08:00:00Z,1897.615,0,172.035,70.868,110,110,19610.817
2023-09-29T08:00:00Z,1866.061,0,175.435,73.968,110,110,19125.274
2023-09-29T08:00:00Z,1775.725,0,184.204,75.116,109.999,110,18372.625
2023-09-29T08:00:00Z,1662.856,0,184.111,78.049,109.998,110,18405.963
2023-09-29T08:00:00Z,1517.806,0,197.762,81.104,110.001,110,17144.459
2023-09-29T08:00:00Z,1364.045,0,168.714,84.463,109.999,110,17141.492
2023-09-29T08:00:00Z,1207.389,0,167.918,88.922,110,110,17140.061
2023-09-29T08:00:00Z,1090.083,0,167.107,92,109.999,110,17164
2023-09-29T08:00:00Z,1019.491,0,167.643,21.509,110.002,110,17168.211
2023-09-29T08:00:00Z,967.088,0,166.822,10,110,69.106,17151.849
2023-09-29T08:00:00Z,949.442,0,166.222,10,110.001,51.46,17147.452
2023-09-29T08:00:00Z,942.106,0,166.768,10,110.001,44.124,16665.457
2023-09-29T08:00:00Z,946.286,0,165.727,10,109.999,48.304,16915.456
2023-09-29T08:00:00Z,952.04,0,164.704,10,110.002,54.058,17156.586
2023-09-29T08:00:00Z,1000.327,0,166.841,10,110,102.345,16936.309
2023-09-29T08:00:00Z,1076.36,0,166.709,79.026,109.998,110,16929.434
2023-09-29T08:00:00Z,1172.137,0,164.771,91.151,109.999,110,17194.258
2023-09-29T08:00:00Z,1294.443,0,166.448,85.889,110,110,16465.971
2023-09-29T08:00:00Z,1462.934,0,164.68,78.017,110,110,17220.879
2023-09-29T08:00:00Z,1630.891,0,175.69,73.163,110,110,18464.122
2023-09-29T08:00:00Z,1803.465,0,180.739,70.149,110.002,110,19738.787
2023-09-29T08:00:00Z,1974.925,0,226.148,65.174,110.002,110,19237.182
2023-09-29T08:00:00Z,2146.641,0,211.834,60.19,110.001,110,20489.569
2023-09-29T08:00:00Z,2298.504,0,263.241,55.897,110.002,110,20986.442
2023-09-29T08:00:00Z,2406.413,0,253.209,53.137,110,110,20982.188
2023-09-29T08:00:00Z,2466.96,0,253.708,53.026,110,110,20982.89
2023-09-29T08:00:00Z,2459.702,0,254.272,51.279,110.001,110,20967.295
2023-09-29T08:00:00Z,2387.335,0,265.38,52.801,109.999,110,20976.71
2023-09-29T08:00:00Z,2326.954,0,268.381,52.906,110,110,20231.828
2023-09-29T08:00:00Z,2265.66,0,201.674,53.042,110,110,20726.412
2023-09-29T08:00:00Z,2191.385,0,214.694,54.63,65,65,19967.378
2023-09-29T08:00:00Z,2107.256,0,172.243,58.562,65.001,65.001,20717.384
2023-09-29T08:00:00Z,2034.116,0,170.031,62.111,64.999,65,20459.1
2023-09-29T08:00:00Z,1964.956,0,182.915,64.521,65,65,19459.101
2023-09-29T08:00:00Z,1903.285,0,182.407,66.671,65,65,19712.554
2023-09-29T08:00:00Z,1853.129,0,155.255,68.418,65.001,65.001,19708.848
2023-09-29T08:00:00Z,1814.07,0,140.555,69.78,64.999,65,19708.848
2023-09-29T08:00:00Z,1780.54,0,149.947,69.948,65.001,65.001,17720.041
2023-09-29T08:00:00Z,1754.133,0,149.249,70.868,65.002,65.001,18506.557
2023-09-29T08:00:00Z,1736.275,0,151.375,72.491,64.999,65,18263.619
2023-09-29T08:00:00Z,1723.445,0,150.306,71.938,64.998,65.001,18522.166
2023-09-29T08:00:00Z,1714.724,0,149.677,71.242,65,65,18510.487
2023-09-29T08:00:00Z,1711.104,0,147.926,69.368,65,65.001,18506.627
2023-09-29T08:00:00Z,1713.334,0,148.808,70.29,64.999,65,18500.979
2023-09-29T08:00:00Z,1727.448,0,153.096,72.798,65,65,17454.299
2023-09-29T08:00:00Z,1759.33,0,152.56,73.687,64.999,65,17721.898
2023-09-29T08:00:00Z,1814.256,0,138.431,72.773,64.999,65,19728.078
2023-09-29T08:00:00Z,1868.93,0,136.936,70.868,65,65.001,19758.495
2023-09-29T08:00:00Z,1893.126,0,142.627,71.025,110,110,19768.341
2023-09-29T08:00:00Z,1865.218,0,143.008,73.997,110,110,19510.572
2023-09-29T08:00:00Z,1774.392,0,154.993,75.162,110,110,18513.737
2023-09-29T08:00:00Z,1660.822,0,157.65,78.12,110.001,110,17266.442
2023-09-29T08:00:00Z,1518.076,0,167.654,81.095,110,110,17266.442
